100	2.431E-07
150	2.551E-07
225	2.257E-07
337	2.927E-07
505	2.721E-07
757	3.353E-07
1135	3.099E-07
1702	2.917E-07
2553	2.869E-07
3829	3.656E-07
5743	4.029E-07
8614	3.971E-07
12921	3.703E-07
19381	7.042E-07
29071	1.1514E-06
43606	1.0925E-06
65409	1.1312E-06
98113	1.4709E-06
147169	1.7482E-06
220753	1.4541E-06
331129	2.6034E-06
496693	2.2431E-06
745039	2.6241E-06
1117558	2.9791E-06
1676337	3.2617E-06
2514505	3.8514E-06
3771757	3.665E-06
5657635	3.7463E-06
8486452	4.646E-06
12729678	4.345875E-06
