10	6.258E-07
13	7.724E-07
16	1.1303E-06
20	1.4193E-06
26	2.0155E-06
33	2.8808E-06
42	3.6746E-06
54	5.6212E-06
70	7.7931E-06
91	8.8725E-06
118	1.14122E-05
153	0.00001633
198	2.36697E-05
257	0.000034726
334	4.26054E-05
434	5.81536E-05
564	0.000080349
733	0.00011721
952	0.000173199
1237	0.007075336
1608	0.000357952
2090	0.000491598
2717	0.000657903
3532	0.007839473
4591	0.001182666
5968	0.009064508
7758	0.009809403
10085	0.011030716
13110	0.018894081
17043	0.019937539
22155	0.022762324
28801	0.039845935
37441	0.04254894
48673	0.08040485
63274	0.10618644
82256	0.1568383
106932	0.1961649
139011	0.2344454
180714	0.3844202
234928	0.4430523
305406	0.5980688
397027	0.8658753
516135	1.261954
670975	1.554401
872267	1.945557
1133947	2.621223
1474131	3.85253
1916370	4.911875
2491281	7.916168
3238665	9.048441
