10	64
13	103
16	151
20	229
26	376
33	593
42	944
54	1538
70	2554
91	4276
118	7138
153	11933
198	19898
257	33409
334	56278
434	94828
564	159893
733	269743
952	454579
1237	766939
1608	1295243
2090	2187184
2717	3695119
3532	6242809
4591	10545526
5968	17817463
7758	30104918
10085	50868739
13110	85955714
17043	145257488
22155	245455244
28801	414792001
37441	700970401
48673	1184603473
63274	2001894448
82256	3383148151
106932	5717386709
139011	9662237576
180714	16329045968
234928	27595934983
